,Date,Local,Visitor,Links,GoalsLocal,GoalsVisitor
186,2019-01-13,Athletic Bilbao,Sevilla,https://fbref.com/en/matches/93ceafbb/Athletic-Bilbao-Sevilla-January-13-2019-La-Liga,2,0
187,2019-01-13,Barcelona,Eibar,https://fbref.com/en/matches/bc534a87/Barcelona-Eibar-January-13-2019-La-Liga,3,0
188,2019-01-13,Betis,Real Madrid,https://fbref.com/en/matches/988a09ba/Real-Betis-Real-Madrid-January-13-2019-La-Liga,1,2
189,2019-01-14,Real Sociedad,Espanyol,https://fbref.com/en/matches/639d470c/Real-Sociedad-Espanyol-January-14-2019-La-Liga,3,2
190,2019-01-18,Getafe,Alavés,https://fbref.com/en/matches/d0978087/Getafe-Alaves-January-18-2019-La-Liga,4,0
191,2019-01-19,Real Madrid,Sevilla,https://fbref.com/en/matches/92b4d472/Real-Madrid-Sevilla-January-19-2019-La-Liga,2,0
192,2019-01-19,Huesca,Atlético Madrid,https://fbref.com/en/matches/a4c84ae7/Huesca-Atletico-Madrid-January-19-2019-La-Liga,0,3
193,2019-01-19,Celta Vigo,Valencia,https://fbref.com/en/matches/e7ddc8d4/Celta-Vigo-Valencia-January-19-2019-La-Liga,1,2
194,2019-01-20,Betis,Girona,https://fbref.com/en/matches/0d6793ff/Real-Betis-Girona-January-20-2019-La-Liga,3,2
195,2019-01-20,Villarreal,Athletic Bilbao,https://fbref.com/en/matches/742f222a/Villarreal-Athletic-Bilbao-January-20-2019-La-Liga,1,1
196,2019-01-20,Rayo Vallecano,Real Sociedad,https://fbref.com/en/matches/def995cc/Rayo-Vallecano-Real-Sociedad-January-20-2019-La-Liga,2,2
197,2019-01-20,Levante,Valladolid,https://fbref.com/en/matches/7f018acf/Levante-Valladolid-January-20-2019-La-Liga,2,0
198,2019-01-20,Barcelona,Leganés,https://fbref.com/en/matches/582c7af9/Barcelona-Leganes-January-20-2019-La-Liga,3,1
199,2019-01-21,Eibar,Espanyol,https://fbref.com/en/matches/13375843/Eibar-Espanyol-January-21-2019-La-Liga,3,0
200,2019-01-26,Sevilla,Levante,https://fbref.com/en/matches/e7adc105/Sevilla-Levante-January-26-2019-La-Liga,5,0
